date,susceptible,infected,recovered,fatal,total population,confirmed
1/1/2023,34307554,420,547,4,34308525,971
2/1/2023,34307741,360,423,1,34308525,784
3/1/2023,34307815,333,376,1,34308525,710
4/1/2023,34307592,433,500,0,34308525,933
5/1/2023,34307251,571,696,7,34308525,1274
6/1/2023,34306500,543,1478,4,34308525,2025
7/1/2023,34307399,571,551,4,34308525,1126
8/1/2023,34307678,405,441,1,34308525,847
9/1/2023,34307779,383,355,8,34308525,746
10/1/2023,34307763,380,373,9,34308525,762
11/1/2023,34307751,367,398,9,34308525,774
12/1/2023,34307513,383,625,4,34308525,1012
13/1/2023,34307696,320,506,3,34308525,829
14/1/2023,34307648,287,590,0,34308525,877
15/1/2023,34307880,244,401,0,34308525,645
16/1/2023,34307925,227,367,6,34308525,600
17/1/2023,34307821,350,349,5,34308525,704
18/1/2023,34307846,371,304,4,34308525,679
19/1/2023,34307876,318,331,0,34308525,649
20/1/2023,34307933,285,300,7,34308525,592
21/1/2023,34307904,293,326,2,34308525,621
22/1/2023,34307924,309,292,0,34308525,601
23/1/2023,34308116,142,267,0,34308525,409
24/1/2023,34308109,101,315,0,34308525,416
25/1/2023,34308046,132,346,1,34308525,479
26/1/2023,34308025,172,325,3,34308525,500
27/1/2023,34307975,236,312,2,34308525,550
28/1/2023,34307956,258,309,2,34308525,569
29/1/2023,34307971,269,285,0,34308525,554
30/1/2023,34308180,202,141,2,34308525,345
31/1/2023,34308169,251,105,0,34308525,356
1/2/2023,34308087,325,113,0,34308525,438
2/2/2023,34308053,324,148,0,34308525,472
3/2/2023,34307769,340,416,0,34308525,756
4/2/2023,34308047,202,275,1,34308525,478
5/2/2023,34307525,211,789,0,34308525,1000
6/2/2023,34307336,175,1013,1,34308525,1189
7/2/2023,34308086,184,253,2,34308525,439
8/2/2023,34308057,189,279,0,34308525,468
9/2/2023,34307881,269,375,0,34308525,644
10/2/2023,34307960,255,306,4,34308525,565
11/2/2023,34307875,259,390,1,34308525,650
12/2/2023,34308007,160,358,0,34308525,518
13/2/2023,34308106,164,254,1,34308525,419
14/2/2023,34308169,200,155,1,34308525,356
15/2/2023,34308072,237,215,1,34308525,453
16/2/2023,34307987,281,257,0,34308525,538
17/2/2023,34308049,241,235,0,34308525,476
18/2/2023,34308002,212,310,1,34308525,523
19/2/2023,34308180,186,158,1,34308525,345
20/2/2023,34308188,167,169,1,34308525,337
21/2/2023,34308149,184,192,0,34308525,376
22/2/2023,34308069,229,227,0,34308525,456
23/2/2023,34308023,224,278,0,34308525,502
24/2/2023,34308067,204,254,0,34308525,458
25/2/2023,34308133,173,219,0,34308525,392
26/2/2023,34308143,207,175,0,34308525,382
27/2/2023,34308158,190,177,0,34308525,367
28/2/2023,34308142,206,176,1,34308525,383
1/3/2023,34308073,217,233,2,34308525,452
2/3/2023,34308276,244,0,5,34308525,249
3/3/2023,34308108,204,213,0,34308525,417
4/3/2023,34308177,170,178,0,34308525,348
5/3/2023,34307540,164,820,1,34308525,985
6/3/2023,34308156,188,181,0,34308525,369
7/3/2023,34308097,226,202,0,34308525,428
8/3/2023,34308073,235,216,1,34308525,452
9/3/2023,34308010,279,236,0,34308525,515
10/3/2023,34308077,251,197,0,34308525,448
11/3/2023,34308109,223,193,0,34308525,416
12/3/2023,34308130,227,167,1,34308525,395
13/3/2023,34308137,217,171,0,34308525,388
14/3/2023,34308023,269,231,2,34308525,502
15/3/2023,34307999,273,252,1,34308525,526
16/3/2023,34307952,311,261,1,34308525,573
17/3/2023,34307995,281,249,0,34308525,530
18/3/2023,34308020,270,235,0,34308525,505
19/3/2023,34308049,257,219,0,34308525,476
20/3/2023,34308102,197,224,2,34308525,423
21/3/2023,34307921,320,284,0,34308525,604
22/3/2023,34307860,367,297,1,34308525,665
23/3/2023,34307898,346,281,0,34308525,627
24/3/2023,34307867,386,269,3,34308525,658
25/3/2023,34307912,355,257,1,34308525,613
26/3/2023,34308198,327,0,0,34308525,327
27/3/2023,34308297,226,0,2,34308525,228
28/3/2023,34307837,357,330,1,34308525,688
29/3/2023,34307701,461,362,1,34308525,824
30/3/2023,34307695,493,337,0,34308525,830
31/3/2023,34307522,606,397,0,34308525,1003
1/4/2023,34307550,599,375,1,34308525,975
2/4/2023,34307768,430,327,0,34308525,757
3/4/2023,34307836,458,229,2,34308525,689
4/4/2023,34307552,611,359,3,34308525,973
5/4/2023,34307281,747,496,1,34308525,1244
6/4/2023,34307715,805,0,5,34308525,810
7/4/2023,34307131,797,596,1,34308525,1394
8/4/2023,34307215,726,584,0,34308525,1310
9/4/2023,34307589,517,419,0,34308525,936
10/4/2023,34307518,539,467,1,34308525,1007
11/4/2023,34307926,598,0,1,34308525,599
12/4/2023,34306935,900,690,0,34308525,1590
13/4/2023,34306860,875,790,0,34308525,1665
14/4/2023,34306902,839,783,1,34308525,1623
15/4/2023,34306883,881,760,1,34308525,1642
16/4/2023,34307252,739,534,0,34308525,1273
17/4/2023,34307478,490,554,3,34308525,1047
18/4/2023,34307062,790,669,4,34308525,1463
19/4/2023,34306884,784,855,2,34308525,1641
20/4/2023,34306958,750,817,0,34308525,1567
21/4/2023,34306970,702,852,1,34308525,1555
22/4/2023,34307081,562,881,1,34308525,1444
23/4/2023,34307358,449,718,0,34308525,1167
24/4/2023,34307658,387,480,0,34308525,867
25/4/2023,34307179,561,782,3,34308525,1346
26/4/2023,34307096,617,809,3,34308525,1429
27/4/2023,34306927,832,762,4,34308525,1598
28/4/2023,34306783,1067,673,2,34308525,1742
29/4/2023,34306875,1050,600,0,34308525,1650
30/4/2023,34307087,968,469,1,34308525,1438
1/5/2023,34307329,793,401,2,34308525,1196
2/5/2023,34307728,793,0,4,34308525,797
3/5/2023,34307167,1353,0,5,34308525,1358
4/5/2023,34306202,1409,913,1,34308525,2323
5/5/2023,34306349,1170,1003,3,34308525,2176
6/5/2023,34306301,1110,1112,2,34308525,2224
7/5/2023,34306631,977,917,0,34308525,1894
8/5/2023,34306668,1046,809,2,34308525,1857
9/5/2023,34307260,1261,0,4,34308525,1265
10/5/2023,34305755,1433,1333,4,34308525,2770
11/5/2023,34307191,1329,0,5,34308525,1334
12/5/2023,34307201,1322,0,2,34308525,1324
13/5/2023,34306067,1205,1248,5,34308525,2458
14/5/2023,34306901,740,883,1,34308525,1624
15/5/2023,34306752,740,1029,4,34308525,1773
16/5/2023,34306165,1064,1288,8,34308525,2360
17/5/2023,34306150,1019,1353,3,34308525,2375
18/5/2023,34306155,1119,1249,2,34308525,2370
19/5/2023,34306242,971,1309,3,34308525,2283
20/5/2023,34306464,786,1272,3,34308525,2061
21/5/2023,34307026,749,745,5,34308525,1499
22/5/2023,34307113,653,758,1,34308525,1412
23/5/2023,34306520,947,1056,2,34308525,2005
24/5/2023,34306474,1001,1048,2,34308525,2051
25/5/2023,34306624,843,1056,2,34308525,1901
26/5/2023,34306741,826,954,4,34308525,1784
27/5/2023,34306963,782,779,1,34308525,1562
28/5/2023,34307212,582,731,0,34308525,1313
29/5/2023,34307351,513,657,4,34308525,1174
30/5/2023,34306837,779,905,4,34308525,1688
31/5/2023,34306818,745,959,3,34308525,1707
1/6/2023,34307857,666,0,2,34308525,668
2/6/2023,34307854,669,0,2,34308525,671
3/6/2023,34307111,569,845,0,34308525,1414
4/6/2023,34306999,460,1063,3,34308525,1526
5/6/2023,34307649,344,532,0,34308525,876
6/6/2023,34307345,427,752,1,34308525,1180
7/6/2023,34307863,660,0,2,34308525,662
